Rauchmelder rosa Zimmer Zuletzt gesehen;sensor.rauchmelder_rosa_zimmer_zuletzt_gesehen;sensor.smoke_rosa_last_seen
Rauchmelder rosa Zimmer: Air temperature;sensor.smoke_rosa_air_temperature;sensor.smoke_rosa_air_temperature
Rauchmelder rosa Zimmer;sensor.smoke_rosa_battery_level;sensor.smoke_rosa_battery_level
Rauchmelder rosa Zimmer: Heat Alarm - Heat sensor status;sensor.smoke_rosa_heat_alarm_heat_sensor_status_7;sensor.smoke_rosa_heat_sensor_state
Rauchmelder rosa Zimmer: Home Security - Cover status;sensor.smoke_rosa_home_security_cover_status_7;sensor.smoke_rosa_cover_state
Rauchmelder rosa Zimmer: Node Status;sensor.smoke_rosa_node_status;sensor.smoke_rosa_node_state
Rauchmelder rosa Zimmer: Power Management - Battery maintenance status;sensor.smoke_rosa_power_management_battery_maintenance_status;sensor.smoke_rosa_battery_maintenance_state
Rauchmelder rosa Zimmer: Smoke Alarm - Alarm status;sensor.smoke_rosa_smoke_alarm_alarm_status;sensor.smoke_rosa_alarm_state
Rauchmelder rosa Zimmer: Smoke Alarm - Sensor status;sensor.smoke_rosa_smoke_alarm_sensor_status;sensor.smoke_rosa_alarm_sensor_state
Rauchmelder rosa Zimmer: System - Hardware status;sensor.smoke_rosa_system_hardware_status;sensor.smoke_rosa_hardware_state
Rauchmelder Studio: Home Security - Tampering;binary_sensor.smoke_studio_home_security_tampering_product_cover_removed;binary_sensor.smoke_studio_cover_removed
Rauchmelder Studio: Low battery level;binary_sensor.smoke_studio_low_battery_level;binary_sensor.smoke_studio_low_battery_level
Rauchmelder Studio: Power Management - Replace battery soon;binary_sensor.smoke_studio_power_management_replace_battery_soon;binary_sensor.smoke_studio_replace_battery_soon
Rauchmelder Studio: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_studio_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_studio_smoke_alarm_test
Rauchmelder Studio: Smoke Alarm - Smoke detected;binary_sensor.smoke_studio_smoke_alarm_smoke_detected;binary_sensor.smoke_studio_smoke_detected
Rauchmelder Studio: System - System hardware failure;binary_sensor.smoke_studio_system_system_hardware_failure;binary_sensor.smoke_studio_hardware_failure
Rauchmelder Studio Zuletzt gesehen;sensor.rauchmelder_studio_zuletzt_gesehen;sensor.smoke_studio_last_seen
Rauchmelder Studio: Air temperature;sensor.smoke_studio_air_temperature;sensor.smoke_studio_air_temperature
Rauchmelder Studio;sensor.smoke_studio_battery_level;sensor.smoke_studio_battery_level
Rauchmelder Studio: Heat Alarm - Heat sensor status;sensor.smoke_studio_heat_alarm_heat_sensor_status;sensor.smoke_studio_heat_sensor_state
